x,y,z,label
310.0,368.0,307.0,A
309.0,368.0,307.0,A
308.0,368.0,306.0,A
308.0,368.0,306.0,A
308.0,368.0,306.0,A
308.0,368.0,306.0,A
308.0,368.0,306.0,A
308.0,367.0,305.0,A
306.0,368.0,299.0,A
307.0,367.0,300.0,A
303.0,367.0,294.0,A
308.0,366.0,309.0,A
309.0,367.0,310.0,A
307.0,367.0,311.0,A
307.0,366.0,313.0,A
307.0,367.0,313.0,A
308.0,368.0,307.0,A
308.0,368.0,307.0,A
311.0,366.0,316.0,A
310.0,366.0,318.0,A
314.0,366.0,314.0,A
316.0,366.0,313.0,A
319.0,366.0,312.0,A
295.0,365.0,316.0,A
294.0,365.0,315.0,A
318.0,301.0,363.0,B
316.0,296.0,362.0,B
317.0,294.0,362.0,B
316.0,294.0,361.0,B
317.0,294.0,362.0,B
318.0,292.0,366.0,B
314.0,303.0,362.0,B
318.0,302.0,362.0,B
323.0,303.0,362.0,B
318.0,302.0,362.0,B
314.0,297.0,362.0,B
316.0,297.0,360.0,B
318.0,306.0,364.0,B
316.0,297.0,365.0,B
312.0,295.0,362.0,B
315.0,293.0,361.0,B
315.0,317.0,361.0,B
318.0,318.0,360.0,B
316.0,317.0,361.0,B
316.0,318.0,362.0,B
311.0,330.0,359.0,B
323.0,314.0,360.0,B
321.0,313.0,362.0,B
316.0,323.0,360.0,B
318.0,325.0,361.0,B
313.0,363.0,323.0,C
313.0,364.0,320.0,C
312.0,364.0,323.0,C
310.0,363.0,326.0,C
312.0,363.0,324.0,C
312.0,361.0,323.0,C
310.0,362.0,325.0,C
310.0,363.0,326.0,C
312.0,364.0,323.0,C
312.0,364.0,322.0,C
313.0,363.0,326.0,C
312.0,363.0,326.0,C
312.0,362.0,325.0,C
312.0,365.0,321.0,C
314.0,362.0,320.0,C
314.0,364.0,324.0,C
313.0,363.0,322.0,C
314.0,365.0,323.0,C
314.0,364.0,324.0,C
314.0,364.0,322.0,C
315.0,363.0,321.0,C
314.0,365.0,322.0,C
312.0,365.0,323.0,C
312.0,364.0,325.0,C
314.0,364.0,324.0,C
315.0,259.0,339.0,D
314.0,259.0,338.0,D
315.0,259.0,339.0,D
315.0,261.0,343.0,D
315.0,260.0,343.0,D
316.0,260.0,341.0,D
316.0,261.0,343.0,D
313.0,260.0,341.0,D
315.0,260.0,341.0,D
313.0,256.0,338.0,D
314.0,256.0,340.0,D
315.0,259.0,342.0,D
314.0,262.0,345.0,D
315.0,263.0,344.0,D
315.0,263.0,346.0,D
315.0,264.0,346.0,D
316.0,263.0,345.0,D
314.0,258.0,340.0,D
312.0,260.0,341.0,D
313.0,261.0,344.0,D
314.0,262.0,341.0,D
314.0,262.0,344.0,D
311.0,259.0,341.0,D
313.0,259.0,340.0,D
315.0,259.0,341.0,D
